哀悼	参加追悼会的人向死者表示深切的哀悼。//$
报批	办公室里买电视的事，你报批了吗?。/办公室安装空调要报批。/那份计划是上星期报批的。//$
报答	用优异的成绩报答母亲的恩情。/用实际行动报答老师的培养。/我以后一定会报答你的。/你为我做的一切，我一辈子也报答不了。//$
报效	我一定努力工作，报效母校的培养。/你现在要努力学习，毕业后报效国家。///$
报复	我知道他是无意的，我不会去报复他。/他这个人报复心太重。/她因为揭发了公司的偷税行为，遭到了报复，被开除了。///$
刨	这几块木板还不够平，再刨一下。/这种木头太硬，刨不动。//$
抱	妈妈抱着孩子。/把他抱在胸前。/这孩子太胖了，我抱不动。/这孩子不让我抱。/请把被子抱过来。/$对他们，我们应该抱什么态度呢?。/父母对他上大学部抱着很大的希望。/大家对这件事如果抱有什么想法，请都说出来。//$
抱怨	这件事是你做得不对，别抱怨别人。/你考得不好，抱怨老师有什么用。/咱们互相抱怨，对解决问题没有什么帮助。/她对一切都不满意．抱怨起来没完。//$
暴	
暴露	这次事故暴露出我们管理中的问题。/他的一句话暴露出他的真实想法。/他不小心暴露了，很快就被敌人抓走了。/$
爆	气球爆了。/水管爆裂了/$
爆发	火山爆发。/山区爆发了洪水。/$1851年中国爆发了一场农民革命。/两国之间爆发了战争。//$
爆破	爆破成功了。/爆破只用了20秒。/爆破大坝要注意安全。/明天我们要对这座危险建筑物进行爆破。//$
爆炸	加油站要爆炸了。/啤酒瓶子爆炸了。/电视机也会爆炸．你知道吗?。/没人碰它，热水瓶怎么会爆炸的呢?/$人口爆炸。/现在是信息爆炸的时代。/现在书太多了，简直是知识爆炸。//$
背	背着一个很大的书包。/拿不动，就背着走吧。/因为没有车，他把妻子一直背到医院。//$
备	备过课了。/这些药是为你出差备的。别忘了带上。/我陪客人去周围看看，你先备饭。/明天我讲课，晚上要备一会儿课。//$
背诵	背诵得很流利。/他记忆力特别好，一篇课文他看两遍就能背诵。/背诵课文是学习外语的好方法。//$
被迫	他参加藏毒团伙是被迫的。/五个坏人一起打警察，警察被迫自卫。///$
奔驰	列车奔驰而来。/她开着汽车在高速公路上奔驰。/马群奔驰在草原上。///$
奔跑	奔跑了很长时间。/我喜欢看马奔跑的样子。/失火的时候，人们奔跑着，呼喊着，赶来救火。//$
奔	奔向美好的明天。/她一下班就直奔医院了。/她奔火车站了，现在还追得上她。/他顺着一条小路，直奔那座山头。//$爆破后，山崩了。//$气球很薄，别吹崩了。/自行车打气别太多，小心崩了。//$他俩的意见差得太远，谈了几次，还是谈崩了。/他们俩性子都很急，一谈就崩，常吵架。/态度好一点儿，别跟她谈崩了。/他们俩谈了半年恋爱，现在崩了。//$
崩溃	经济崩溃了。/敌人的统治崩溃了。/心爱的人忽然离开了他，他的精神崩溃了。//$
绷	把绳子绷直。/衣服太小，辅在身上很难受。/绳子没绷紧，再拉一下。//$
绷	他见了学生总绷着脸，大家都怕他。/又辅着个脸，谁让你不高兴了?。/他一绷脸，把孩子吓哭了。/听了这话，他收了笑客，绷起脸嚷了起来。//$他知道不应该笑，可实在绷不住，笑了。/腿别弯，绷住劲儿，站直了!。/他绷足了劲儿，把机器的一头抬了起来。/别绷着了，去看看他吧。//$
迸	海浪打在岸边的石头上，进起洁白的浪花。/问了他半天，他才进出一句话：“不去！”。/一锤打在石头上，火里乱迸。//$他一用力，伤口迸裂了。/刚开的水倒进凉玻璃杯，杯子迸了一个大口子。/你轻一点儿，小心别迸裂了伤口。/热水瓶忽然迸了，差点儿烫了我。//$
进发	他心里的怒气猛地进发出来。/她迸发出的工作热情使我很感动。/见面的时候．他的爱一下子迸发出来。/会场里迸发出一阵破笑声。//$
蹦	孩子高兴得直蹦。/孩子们从远处蹦蹦跳跳地跑过来。/别蹦了，鞋都蹦坏了。/那个孩子腿特长，一蹦就能蹦起一米多高。//$
逼	你别逼我了，我真的不能喝酒。/我答应的事就一定做，但是你别逼我。/逼了他半天，他才说了。/我也不愿意做这种事儿，但他逼得我没办法，只好去做。//$
比	你们站在一起，比一比谁高。/哪个好，哪个坏，一比就知道了。//$把姑娘比作花儿。/把他和他的妻子比成鱼和水太恰当了。/我们常把年轻人比作八九点钟的太阳。/人们总把儿童比作祖国的花朵。//$甲队以三比一胜乙队。/红队跟蓝队的比分是三比二。/北京队今天胜了上海队，一比零。/北京队零比二输给了山东队。//$
比较	这两张画儿比较起来，还是这张画得好。/不比较，我怎么知道哪个更好？。/她总喜欢拿她的男朋友跟电影演员比较。/我们比较了几次，也没发现它们有什么不一样。/$
比赛	咱们俩比赛比赛，看谁跑得快。/我跟他比赛过两次，我都输了。/昨天地们一直比赛到晚上十点，才有了结果。/$
比方	她对朋友的关心、爱护可以用春风来比方。/用猴子来比方机灵的小王，最合适了。/有这样比方的吗?太难听了!/$最近很多城市都下了雨，比方说北京、西安。/明天去参观的事都安排好了，比方说几点集合，在哪儿上车。/咱们出去玩玩吧，比方游游泳什么的。/很多人都不喜欢考试，比方我吧，就是这样。/$
比如	他会说很多种语言，比如英语、法语、日语、意大利语。/他有很多爱好，比如打排球，弹钢琴、唱歌。/有很多情况我还不知道，比如，明天我们去哪儿、怎么去。/你能帮我买点儿水果来吗?比如香蕉、苹果什么的。///$
比喻	人们常用母亲比喻祖国。/用狐狸来比喻狡猾的坏人。/妈妈把我们三个孩子比喻成三种小动物。//$
笔试	只考笔试，不考口试。/笔试的地点在我们班的教室。/我笔试考得很好。/$
笔译	他的笔译能力很强。/她在报社做笔译工作。/高年级开了笔译课。/小王笔译水平很高，口译却很一般。///$
鄙视	他从心里鄙视那些人。/脑力劳动者不应该鄙视体力劳动者。/我非常鄙视那些只顾自己而不关心别人的人。/应该受到鄙视的是那些厌恶劳动的人。//$
鄙夷	我看到他那鄙夷的目光。/我听到她鄙夷的笑声，很不舒服。//$
必需	开会的时候要带着必需的资料。/这些药是旅行时必需的。/这个时候去广州，雨伞是必需的。//$
必选	要是你能开这样一门课，学生必选。/这门课是必选的，不是可选可不选的。/必选课当然要考试。/这学期我们一共有五门必选课。///$
庇护	孩子在外边犯了错误，父母不能庇护。/我们绝不能庇护坏人。/既然他犯了罪，我们就不应该庇护他。/$
毙	毙了他。/把犯人毙了/$
闭	闭嘴，别说话。/闭上眼睛想一想。/闭门不出。/闭着眼睛听音乐。//$
闭幕	演出在热烈的掌声中闭幕。/演出闭幕了，人们开始退场。/$全国人民代表大会闭幕了。/第五届全国农民运动会闭幕。//$
避	下雨了，我们到树下避一避。/今年夏天太热了，我们去海边避暑吧。/雨太大了，我们去商店里避一避吧。/$
避免	避免发生事故。/尽量避免冲突。/这次交通事故真的不可避免吗?。/我们应该想得全面一点儿，避免出问题。/我们要认真总结，避免以后出现同样的错误。/$
避嫌	应该避嫌。/要注意避嫌。/人家房间里没人，你怎么能进去?不知道要避嫌吗?。/你怎么把自己家里的人都弄到你的公司里去了?要避嫌啊!///$
编	她每天给女儿编小辫儿。/她爸爸编的草席真好看。//$我们系编了一份小报。/他们在编稿子呢。//$
编织	她的手很巧，很会编织。/$
编辑	他是做编辑工作的。/明天的报纸我已经编辑好了。/他的稿子太乱，编辑起来很费事。/$
编制	编制了一份详细的计划。/编制好了一套行动方案。/编制这份城市发展规划的有七八个人。/$
贬低	我们不应该贬低教育对经济的作用。/孔子在中国历史上的作用不能贬低。/这部作品的意义被贬低了。/对人要客观，不要随便砭低别人，//$
贬损	不要贬损他人。/他很喜欢抬高自己，贬损别人。/要注意别人的优点，不要随便贬损别人。/你也不必太贬损自己。//$
变	他以前很努力。现在变了，一点儿也不求上进。/听了这句话，她的脸色一下子就变白了。/就这样决定了，别再变了!。/天要变了，快走吧。//$
变革	变革考试制度可是大事啊!。/制度不合理，就要变革嘛!。/这样的制度还不应该变革吗?。/在社会大的变革到来的时候，总有人不理解。//$
变化	变化得很快。/情况已经变化了，我们的想法也要改变。/时代变化了，人们的观念也在变。/最近几年，气候变化得很厉害。/你们要努力适应时代的变化。/$
便	饭前便后要洗手。/这种药便后洗干净再用。//$
辨	不辨是非。/辨不清方向。/真假难辨。/$
辨别	他当过司机，很善于辩别方向。/宝石假的很多，要注意辨别。/提高辨别是非的能力。/这两个孩子样子差不多，很难辨别谁大谁小。//$
辨认	你来辨认一下这两个字。/飞机失事后，乘客的家属来辨认他们的亲人。/天太黑，看不清楚，那小人到底是谁，很难辨认。/照片被水泡坏了，好不容易才辨认出照片上的人是谁。//$
辨析	词义辨析。/字形辨析。/同义词辨析很重要。/老师常给我们辨析汉字的字形。/$
辩	真理越辩越明。/好，算了，我不说了，我辩不过你。//$
辩论	辩论了三个小时。/他喜欢跟别人辩论。/通过辩论，很多问题弄清楚了。//$
标	标上个记号。/你们学校在哪儿，请在地图上标出来。/他的房间号码儿在名单上标着呢。/请在地图上标出你们公司的位置。//$
标准化	考试要逐步做到标准化。/我们进行的是标准化的生产。/产品的规格要标准化，不能想怎么做就怎么做。//$
标志	这些成绩都标志着我们的事业是大有前途的。/这次考试的成绩标志着他的学习有了很大的进步。/这标志着我们的工业生产水平又有了很大的提高。/这些数字标志着我们的改革进入了一个新的阶段。//$
表	你把你的态度表一表嘛!。/礼物很小，只是表表我的心意。//$
表白	再三表白自己的本意。/向大家表白。/别表白了，你的意思我们都知道了。/事情已经过去了，现在表白有什么用?//$
表达	意思表达不清。/用这首歌表达我们的感激之情。/我现在的心情，很难用语言表达。/提高学生的口语表达能力很重要。//$
表决	两种想法都有道理，我们表决一下吧!。/表决的结果是七比五，少数服从多数。//$
表明	这种情况表明，你们的做法是有问题的。/我的态度已经表明了，没有新的意见了。//$
表示	我们对你们表示感谢。/他常用这样的方式表示心里的不满。/我代表我的全家对您表示歉意。/$
表现	你应该表现得更轻松一点儿。/今天的足球比赛，大家表现得很好。/音乐会表现出很高的水平。/$
表演	在今天的演出中，她表演得最好。/他们表演的杂技节目水平很高。/你们表演得非常成功，祝贺你们!。/你再给我们表演一个节日吧。/今天的表演水平很高。/$您先表演一下，我们看看。/我已经表演了三遍了，还没学会?。/您再表演一次那个动作好吗?。/您再表演一下吧，我刚才没看清楚。//$
表扬	表扬好人好事。/他学习非常努力，老师常表扬他。/表扬对孩子的进步很重要。/妈妈表扬了哥哥，批评了弟弟。/老师从来没表扬过我。//$
表彰	他为学校作出了很大贡献，学校领导表彰了他。/他的工作很有成绩，多次受到表彰。/最近公司准备对工作出色的职员进行表彰。//$
憋	努力克制着，不呼吸，不说话，不表现出来：憋足了一口气。/他虽然很不高兴，但憋着没说话。/在水里你能憋几分钟?//$心里憋得难受。/打开窗子吧，我觉得憋得厉害。/他脸憋得通红，是不是不舒服?。/我觉得呼吸很困难，憋得难受。//$
别	别了，我的朋友。/我的故乡，别了。/上海一别，已经二十年了。/两个人小别了几个月，见面时更亲热了。//$
别	他有想法，谁也别不过他。/$
冰	你把啤酒放在冰箱里冰一冰。/西瓜冰一下再吃。/老年人要少吃冰过的东西。/你喜欢喝冰过的茶水吗?//$
冰镇	把西瓜放在冰箱里冰镇一下。/儿子要喝冰镇汽水。/这瓶啤酒不太凉，我要冰镇的。/$
屏	她屏住呼吸，偷偷走出房间。/他屏着气轻轻走进教室。/他屏着一口气钻进水里。/$
并	把桌子并一并。/今天两个班并在一起上课。/几个厂并成一个大企业。//$他们俩肩并肩地跑进操场。/$
并举	工、商业并举。/学校里教学和科研要并举。/基础理论研究和应用研究并举。//$
并列	在这次比赛中，她俩并列第一名。/我怎么能跟专家并列呢!。/这两个部分是并列关系。/$
并排	她俩并排坐着。/两个人并排站在一起。/北边并排盖了两座楼，一座是办公楼，一座是教学楼。/几个人并排拉着手在路上走，后面不断传来自行车的铃声。//$
并重	工农业并重。/对疾病要预防和治疗并重。/学外语时要听说读写并重。/家长对孩子的教育要品德和学习并重。//$
病	病倒了。/他病了，没来上课。/她病得很重，住院了。/他已经病了三个月了，我怎么不知道?//$
病逝	他爸爸昨天在北京医院病逝了。/鲁迅1936年10月19日病逝于上海。/他因肝癌而病逝。/她妈妈不到40岁就病逝了，真可惜。//$
拨	这个钟慢了五分钟，你把钟拨一下。/用筷子把菜拨到女儿碗里。/拨错了电话号码，电话不通。//$这条路是政府拨钱修的。/我们这里工作多，人少，应该多给我们拨几个人来。/学校拔了一笔钱给我们搞科研。/请拨点儿材料给我们修车库。//$
波动	思想波动。/物价波动得很厉害。/运动员情绪的每一点儿波动都会影响比赛。/发生了这样的事，她感情上不可能没有波动。//$
剥削	剥削可耻。/在旧社会有些人靠剥削农民生活。/干一天活，你就给这么一点儿钱，这不是剥削我们吗?//$
播	消息播出去了。/那个节目昨天已经播过了。/今天早上的天气预报播了吗?。/这条新闻已经播过三遍了。//$今年的玉米已经播下去了。/小麦播得太晚了不行啊!//$
播放	下面要播放音乐节目了。/刚才播放的电视节日你看了吗?。/那个电视剧已经播放完了。/每天播放五次天气预报。//$
播讲	用英语播讲。/播讲卫生知识。/刚才的节目是王教授播讲的。/很多人都喜欢她播讲的日语课程。/$
播送	中央电视台每天要播送很多套节目。/他是专门播送新闻节目的。/刚才广播电台播送了明天大风降温的消息。/音乐节日播送完了。//$
播音	中央人民广播电台现在开始播音。/电台播音是一种专业工作。/他不喜欢播音，后来去做记者了。/电台24小时播音。//$
播种	
驳	你的观点太可笑，不值一驳。/把他的意见驳回去了。/她的观点被别人驳倒了。//$
驳斥	他受到了大家的驳斥。/他用大量事实驳斥了这种错误的说法。/他的错误言论遭到大家的驳斥。/她有力地驳斥了那种不健康的观点。//$
搏	人生能有几回搏。/两人对搏。//$
跛	他的脚有点儿跛。/他走路一跛一跛的。/他的腿有毛病吗?怎么有点儿跛?。/爷爷的腿跛了。//$
簸	把粮食用簸箕簸一簸。//$
卜	未卜先知。/卜了一卦。/$
补	裤子破了，要补一补。/我的书包破了，你能给我补一下吗?。/你的衣服破得太厉害了。补不了了。/我有一颗牙坏了，要补一补。//$不够的钱，我给你补上。/你缺多少人给你补多少人。/你耽误的功课，我给你补。/先上车，在车上可以补票。//$
补偿	别担心，保险公司会补偿你的损失。/损失太大了，没办法得到全部的补偿。/我们可以得到一些钱，但精神上的损失怎么补偿呢?。/我欠父母的太多了，今后一定要让他们得到补偿。//$
补充	刚才大家讲了很多方面的问题，我再补充一点。/您刚才有个问题没谈到，我可以补充几句吗?//$
补救	要采取补救的措施。/事情还可以补救。/你说还来得及补救吗?//$
补考	你因为生病没考试，参加下周的补考吧。/你这次考试没通过，要补考。/请问，补考安排在哪一天?//$
补习	我想利用假期补习外语。/他想让该子去补习补习数学。//$
捕	狼捕到了兔子。/$
捕杀	不许捕杀动物。/捕杀珍稀动物是犯罪。/有人偷偷捕杀大熊猫，真是可恨!//$
捕捉	小老虎长大了，可以自己捕捉小动物了。//$
哺育	不忘妈妈的哺育之恩。/妈妈哺育孩子是很辛苦的。/我永远忘不了老师哺育的恩情。/我今天取得的成绩是国家哺育的结果。//$
不便	这件事儿不便跟她说。/他不愿讲，我也不便多问。/工作人员太分散，不便管理。//$
不得不	这个活动，我真不想参加，可是又不得不去。/他不得不承认，妹妹比他聪明。/他说得很肯定，我不得不相信。/这个药特别难吃，可是为了治病，她不得不吃。//$
不顾	做事不能不顾后果。/生产不能只顾数量不顾质量。/她不顾自己年老有病，坚持要跟大家一起去植树。/他只顾自己不顾国家利益的行为受到了大家的批评。//$
不见	她的孩子不见了。/我的自行车不见了。/刚才我的书包还在这儿，怎么一下儿就不见了？/$一年不见，这孩子长这么高了!。/几年不见，她老了很多，头发都白了。/两年不见了，你过得怎么样?。/咱俩好久不见了，真想你！/$
不解	对他的做法，大家都表示不解。/这件事太奇怪了，人们当然会迷惑不解。/这么好的工作，他辞了，太使人不解了。//$
不觉	我们玩儿得报高兴，两个小时不觉就过去了。/我们边走边聊，不觉已经爬到山顶了。/他吃完晚饭就开始做作业，不觉就到了深夜了。/几十年来，他每天都很忙，不觉到了退休的年龄。//$
不堪	不堪生活之苦。/不堪疾病的折磨。/我们队比他们队的水平高多了，他们不堪一击。/$他说的话太难听了，简直不堪入耳。/今天太热了，简直不堪忍受。/这个孩子已经变坏了，再不教育，后果不堪设想。/$
不可	他说的话简直不可理解。/对老年人要有礼貌，不可无礼。/这两个条件都很重要，缺一不可。/我们要完成任务的决心是不可动摇的。/$今天非下雨不可。/路上交通拥挤，车怎么也开不过去，今天非迟到不可。/再找不到吃的东西，我非饿死不可。/我不会游泳，让人着不起，今年非学会不可。//$
不满	他不满于现状，去广州开公司去了。/她不满领导对这件事情的处理。/她不满自己的丈夫天天喝酒，跟他离婚了。/$
不忍	这本小说太有意思了，我简直不忍放下。/他太累了，我真不忍叫醒他。/看她难过的样子，真不忍再批评她。/养了几年的小狗要送给别人．真有点儿不忍。//$
不容	国家的主权不客侵犯。/做这样的事，国法不容。/时间紧，任务重，不容拖延。/这是她的婚姻大事，不容别人干涉//$
不如	她说英语说得很好，我不如她。/坐公共汽车去不如骑自行车去。/去长城不如去故宫。/这间教室不如那间大，还是用那间吧。/姐姐不如妹妹长得漂亮。/$
不屑	他认为自己没错，不屑于与对方争辩。/他名声不好，大家都不屑于跟他来往。/他觉得水平这样低的报告，不屑一听。/$这里的杂志可以看，借走不行。/我可以去吗?不行!。/我说不行就是不行，你别再说了，说也没用。/上课要认真，吃东西可不行。/$
不朽	为祖国牺牲的烈士是不朽的。/大诗人李白写下了大批不朽的诗篇。/人民英雄不朽。//$
不许	上课的时候不许睡觉。/这里是加油站，不许抽烟。/要努力学习，不许旷课。/你不知道这里不许照相吗?。/妈妈不许她去游泳。//$
不宜	这种水果不宜多吃，对身体不好。/你的病还没完全好，可以工作，但不宜太累。/现在病人正在休息，不宜见客。/这个地方很危险，不宜停留。//$
不由得	在那种情况下，不由得你不那样做。/她说得那么肯定，不由得你不信。/看到他这么不讲道理，不由得你不生气。/$例如，“不由得你不生气”意思是“你肯定生气”。//$
